
EMPLOYEE selected list with title headers

Sunday, December 13, 2015 6:49:53 PM

    Employee number from the first line: 000130, Birth date: 1925-09-15 
 
EMPNO    FIRSTNME       LASTNAME          BIRTHDATE         SALARY          COMM   
000130   DELORES        QUINTANA          1925-09-15      23800.00       1904.00   
000230   JAMES          JEFFERSON         1935-05-30      22180.00       1774.00   
000250   DANIEL         SMITH             1939-11-12      19180.00       1534.00   
000260   SYBIL          JOHNSON           1936-10-05      17250.00       1380.00   
000280   ETHEL          SCHNEIDER         1936-03-28      26250.00       2100.00   
000300   PHILIP         SMITH             1936-10-27      17750.00       1420.00   
000310   MAUDE          SETRIGHT          1931-04-21      15900.00       1272.00   
000320   RAMLAL         MEHTA             1932-08-11      19950.00       1596.00   
000340   JASON          GOUNOT            1926-05-17      23840.00       1907.00   
200280   EILEEN         SCHWARTZ          1936-03-28      26250.00       2100.00   
200310   MICHELLE       SPRINGER          1931-04-21      15900.00       1272.00   
200340   ROY            ALONZO            1926-05-17      23840.00       1907.00   
